V1,V2,V3,V4,V5,V6,V7,V8,V9,vowel probabilities,,multiplied probabilities
NA,NA,NA,NA,NA,NA,NA,z{f,nud,Ê0.0605,0.0221,0.00133705
NA,NA,NA,NA,NA,NA,NA,f{S,mum,,,
NA,NA,NA,NA,NA,NA,NA,_Vl,gEN,0.0123,0.0039,0.00004797
NA,NA,NA,NA,NA,NA,NA,gVz,gEN,,,
NA,NA,NA,NA,NA,NA,NA,n{f,bQN,Ê0.0605,0.0121,0.00073205
NA,NA,NA,NA,NA,NA,NA,b{b,fQl,,,
NA,NA,NA,NA,NA,NA,NA,rIz,b{b,0.0623,0.0605,0.00376915
NA,NA,NA,NA,NA,NA,NA,sIg,f{S,,,
NA,NA,NA,NA,NA,NA,NA,_Vm,l{f,0.0123,0.0605,0.00074415
NA,NA,NA,NA,NA,NA,NA,wVz,dZ{z,,,
NA,NA,NA,NA,NA,NA,NA,_1k,kr7,0.0623,0.0123,0.00076629
NA,NA,NA,NA,NA,NA,NA,t1z,kr7,,,
NA,NA,NA,NA,NA,NA,NA,T1S,rVdZ,0.0623,0.0123,0.00076629
NA,NA,NA,NA,NA,NA,NA,n1b,gVz,,,
NA,NA,NA,NA,NA,NA,NA,sIS,gQf,0.0623,0.0121,0.00075383
NA,NA,NA,NA,NA,NA,NA,pIm,dQd,,,
NA,NA,NA,NA,NA,NA,NA,_Vm,l{f,0.0123,0.0605,0.00074415
NA,NA,NA,NA,NA,NA,NA,wVz,dZ{z,,,
NA,NA,NA,NA,NA,NA,NA,sus,f{S,0.0221,0.0605,0.00133705
NA,NA,NA,NA,NA,NA,NA,nu_,j{dZ,,,
NA,NA,NA,NA,NA,NA,NA,_Vm,f1b,0.0123,0.0623,0.00076629
NA,NA,NA,NA,NA,NA,NA,pVv,k1f,,,
NA,NA,NA,NA,NA,NA,NA,lEl,zuf,0.0039,0.0221,0.00008619
NA,NA,NA,NA,NA,NA,NA,hEz,wuv,,,
NA,NA,NA,NA,NA,NA,NA,mEg,gVz,0.0039,0.0123,0.00004797
NA,NA,NA,NA,NA,NA,NA,rEg,kVg,,,
NA,NA,NA,NA,NA,NA,NA,z{f,fIf,0.0605,0.0623,0.00376915
NA,NA,NA,NA,NA,NA,NA,z{f,fIk,,,
