V1,V2,V3,V4,V5,V6,V7,V8,V9,vowel probabilities,,,
rVlb,_Qks,dZ{nd,NA,NA,NA,kwVg,wQld,w{dZt,0.0123,0.0121,0.0605,9.00422E-06
welm,drQn,_{mf,NA,NA,NA,dZelk,gwQm,s{n_,0.0039,0.0121,0.0605,2.855E-06
Srein,gQps,kw{N,NA,NA,NA,skeiS,dQsk,t{lt,0.00012402,0.0121,0.0605,9.07888E-08
fIft,rQlf,n{ld,NA,NA,NA,gIntS,dQsk,fl{N,0.0623,0.0121,0.0605,4.56067E-05
fliz,plQk,Tr{b,NA,NA,NA,skwi,SQld,z{nT,0.0034,0.0121,0.0605,2.48897E-06
sufT,TQlv,pl{v,NA,NA,NA,Suks,klQf,h{ldZ,0.0221,0.0121,0.0605,1.61783E-05
saaft,wQld,nVmT,NA,NA,NA,raald,Qlnz,rVTt,do,not,include,
krE_,gQnd,dwVk,NA,NA,NA,remT,klQn,blVs,0.0039,0.0121,0.0123,5.80437E-07
gleidZ,gwQm,jVl_,NA,NA,NA,peibz,gwQS,rVlp,0.00012402,0.0121,0.0123,1.84579E-08
dZIlk,hQndZ,dVmz,NA,NA,NA,zIst,bQnz,rVlm,0.0623,0.0121,0.0123,9.27211E-06
skwi,tQvz,brVT,NA,NA,NA,gliz,jQnt,nVmT,0.0034,0.0121,0.0123,5.06022E-07
Suks,sQmT,Vlft,NA,NA,NA,slub,brQn,kVgz,0.0221,0.0121,0.0123,3.28914E-06
dwaak,zQln,sElk,NA,NA,NA,snaaf,fQst,dZEdz,do,not,include,
kVgz,SrQf,zElt,NA,NA,NA,TVnz,dQmz,drEk,0.0123,0.0121,0.0039,5.80437E-07
preil,kwQv,flEf,NA,NA,NA,dreit,wQnz,TEln,0.00012402,0.0121,0.0039,5.8525E-09
nIgd,sQn_,klEp,NA,NA,NA,glIf,fQlk,TEld,0.0623,0.0121,0.0039,2.93994E-06
fliz,skQS,TEnT,NA,NA,NA,Trid,dQsk,twEs,0.0034,0.0121,0.0039,1.60446E-07
nudZd,kwQ_,sEdz,NA,NA,NA,sumz,pQfs,jEfT,0.0221,0.0121,0.0039,1.0429E-06
naanz,SQnt,weifT,NA,NA,NA,naanz,SQnt,deild,do,not,include,
dVNT,brQn,kweiz,NA,NA,NA,wVks,fQft,feips,0.0123,0.0121,0.00012402,1.84579E-08
klet,sQln,deidZt,NA,NA,NA,petSt,flQv,gein_,0.0039,0.0121,0.00012402,5.8525E-09
nIgz,sQmT,sweif,NA,NA,NA,krIm,wQfs,peidZt,0.0623,0.0121,0.00012402,9.349E-08
fliz,krQg,tweiz,NA,NA,NA,friz,lQlv,peift,0.0034,0.0121,0.00012402,5.10218E-09
kumd,klQl,zeind,NA,NA,NA,drut,zQkt,kweim,0.0221,0.0121,0.00012402,3.31642E-08
sk{N,rQndZ,nIfs,NA,NA,NA,skaam,TQldZ,kwIg,do,not,include,
fVpt,gwQm,skIv,NA,NA,NA,kVmp,nQln,klId,0.0123,0.0121,0.0623,9.27211E-06
dZElv,pQnz,frIs,NA,NA,NA,gend,frQS,swIf,0.0039,0.0121,0.0623,2.93994E-06
geiks,zQgd,TIpT,NA,NA,NA,skeiS,frQs,nIlm,0.00012402,0.0121,0.0623,9.349E-08
pliz,vQft,_Il_,NA,NA,NA,gliz,SQldZ,skIk,0.0034,0.0121,0.0623,2.56302E-06
suzd,dQsk,sIls,NA,NA,NA,nups,bQvz,nITt,0.0221,0.0121,0.0623,1.66596E-05
taalt,jQmz,griz,NA,NA,NA,jaalk,lQfT,Trid,do,not,include,
gwVb,kQfT,griz,NA,NA,NA,kVndZ,wQbz,fliz,0.0123,0.0121,0.0034,5.06022E-07
Tweb,dZQpT,Sriz,NA,NA,NA,kets,mQTt,Trid,0.0039,0.0121,0.0034,1.60446E-07
deitSt,fQvd,Sriz,NA,NA,NA,neibd,wQlt,pliz,0.00012402,0.0121,0.0034,5.10218E-09
pIlk,jQnt,briz,NA,NA,NA,TIln,frQn,friz,0.0623,0.0121,0.0034,2.56302E-06
nubz,dZQmT,Trid,NA,NA,NA,Tumd,nQst,twiz,0.0221,0.0121,0.0034,9.09194E-07
