V1,V2,V3,V4,V5,V6,V7,V8,V9,probabilities,,,mulitiplied probabilities
NA,NA,NA,NA,NA,NA,prid,hElk,r{st,0.0034,0.0039,0.0605,8.0223E-07
NA,NA,NA,NA,NA,NA,friz,jEks,S{zd,,,,
NA,NA,NA,NA,NA,NA,krad,nEld,flVm,0.0121,0.0039,0.0123,5.80437E-07
NA,NA,NA,NA,NA,NA,flab,smEk,jVlv,,,,
NA,NA,NA,NA,NA,NA,neibz,sElm,pVlf,0.00012402,0.0039,0.0123,5.94924E-09
NA,NA,NA,NA,NA,NA,jeidz,TEzd,zVn_,,,,0
NA,NA,NA,NA,NA,NA,prid,gwEt,wVln,0.0034,0.0039,0.0123,1.63098E-07
NA,NA,NA,NA,NA,NA,fliz,gEps,smVm,,,,0
NA,NA,NA,NA,NA,NA,nalT,TEst,neipT,0.0121,0.0039,0.00012402,5.8525E-09
NA,NA,NA,NA,NA,NA,faldZ,_En_,preis,,,,0
NA,NA,NA,NA,NA,NA,klVg,swEN,heigd,0.0123,0.0039,0.00012402,5.94924E-09
NA,NA,NA,NA,NA,NA,SrVl,mEmp,veibd,,,,0
NA,NA,NA,NA,NA,NA,prid,TEln,heivd,0.0034,0.0039,0.00012402,1.64451E-09
NA,NA,NA,NA,NA,NA,twiz,pEdZt,sweig,,,,0
NA,NA,NA,NA,NA,NA,kQdZt,sElk,mImp,0.0121,0.0039,0.0623,2.93994E-06
NA,NA,NA,NA,NA,NA,naft,tEmf,TIn_,,,,0
NA,NA,NA,NA,NA,NA,rVlb,dEnd,kwIS,0.0123,0.0039,0.0623,2.98853E-06
NA,NA,NA,NA,NA,NA,TVln,skEv,zInT,,,,0
NA,NA,NA,NA,NA,NA,skri,nEnT,rInd,0.0034,0.0039,0.0623,8.26098E-07
NA,NA,NA,NA,NA,NA,prid,_E_d,SrIN,,,,0
NA,NA,NA,NA,NA,NA,krag,rEmT,skwi,0.0121,0.0039,0.0034,1.60446E-07
NA,NA,NA,NA,NA,NA,gaks,_ElT,fliz,,,,0
NA,NA,NA,NA,NA,NA,SrVn,dZEdz,briz,0.0123,0.0039,0.0034,1.63098E-07
NA,NA,NA,NA,NA,NA,brVtS,TwEb,griz,,,,0
NA,NA,NA,NA,NA,NA,pIlm,rEls,fliz,0.0623,0.0039,0.0034,8.26098E-07
NA,NA,NA,NA,NA,NA,stIb,hEnd,friz,,,,0
NA,NA,NA,NA,NA,NA,slaf,fENk,fluT,0.0121,0.0039,0.0221,1.0429E-06
NA,NA,NA,NA,NA,NA,tSamd,pEpT,fru_,,,,0
NA,NA,NA,NA,NA,NA,smVT,tEsk,sulz,0.0123,0.0039,0.0221,1.06014E-06
NA,NA,NA,NA,NA,NA,TVln,skEk,rund,,,,0
NA,NA,NA,NA,NA,NA,drIf,vEnT,sjum,0.0034,0.0039,0.0221,2.93046E-07
NA,NA,NA,NA,NA,NA,hIsk,Elnd,smuv,,,,0
NA,NA,NA,NA,NA,NA,T{ndZ,neiks,_Qlf,0.0605,0.00012402,0.0121,9.07888E-08
NA,NA,NA,NA,NA,NA,daaldZ,neidZt,rQzd,,,,0
NA,NA,NA,NA,NA,NA,sENk,heigd,hQlp,0.0039,0.00012402,0.0121,5.8525E-09
NA,NA,NA,NA,NA,NA,zefs,sneip,TQfT,,,,0
NA,NA,NA,NA,NA,NA,twiz,dZeizd,swQm,0.0034,0.00012402,0.0121,5.10218E-09
NA,NA,NA,NA,NA,NA,skwi,weibz,slQf,,,,0
NA,NA,NA,NA,NA,NA,wald,freik,f{n_,0.0121,0.00012402,0.0605,9.07888E-08
NA,NA,NA,NA,NA,NA,jamz,glein,dw{s,,,,0
NA,NA,NA,NA,NA,NA,frep,peinT,g{lv,0.0039,0.00012402,0.0605,2.92625E-08
NA,NA,NA,NA,NA,NA,drek,seifT,s{dZt,,,,0
NA,NA,NA,NA,NA,NA,skwi,freiS,w{lT,0.0034,0.00012402,0.0605,2.55109E-08
NA,NA,NA,NA,NA,NA,friz,weibz,w{dZt,,,,0
NA,NA,NA,NA,NA,NA,gwaS,seilt,rVpt,0.0121,0.00012402,0.0123,1.84579E-08
NA,NA,NA,NA,NA,NA,klas,dreit,mVNT,,,,0
NA,NA,NA,NA,NA,NA,Teln,beiSt,zVvz,0.0039,0.00012402,0.0123,5.94924E-09
NA,NA,NA,NA,NA,NA,feNk,seilt,pVlf,,,,0
NA,NA,NA,NA,NA,NA,friz,deips,fVfs,0.0034,0.00012402,0.0123,5.18652E-09
NA,NA,NA,NA,NA,NA,Sriz,seibd,nVkt,,,,0
NA,NA,NA,NA,NA,NA,panz,bleit,TEzd,0.0121,0.00012402,0.0039,5.8525E-09
NA,NA,NA,NA,NA,NA,maSt,heips,dZEns,,,,0
NA,NA,NA,NA,NA,NA,kVmp,jeimT,dEpt,0.0123,0.00012402,0.0039,5.94924E-09
NA,NA,NA,NA,NA,NA,gVkt,nein_,swEs,,,,0
NA,NA,NA,NA,NA,NA,Trid,greif,TENk,0.0034,0.00012402,0.0039,1.64451E-09
NA,NA,NA,NA,NA,NA,griz,Tweit,wElf,,,,0
NA,NA,NA,NA,NA,NA,fQndZ,kweid,drIf,0.0121,0.00012402,0.0034,5.10218E-09
NA,NA,NA,NA,NA,NA,jaNk,fleip,Ikst,,,,0
NA,NA,NA,NA,NA,NA,rVpt,tweiz,nIfs,0.0123,0.00012402,0.0623,9.50353E-08
NA,NA,NA,NA,NA,NA,snVm,peibz,klIz,,,,0
NA,NA,NA,NA,NA,NA,drid,freik,TIkt,0.0034,0.00012402,0.0623,2.62699E-08
NA,NA,NA,NA,NA,NA,friz,dreit,twIv,,,,0
NA,NA,NA,NA,NA,NA,snQ_,teiSt,griz,0.0121,0.00012402,0.0034,5.10218E-09
NA,NA,NA,NA,NA,NA,nafT,brei_,prid,,,,0
NA,NA,NA,NA,NA,NA,trVm,teift,twiz,0.0123,0.00012402,0.0034,5.18652E-09
NA,NA,NA,NA,NA,NA,kVldZ,seipt,briz,,,,0
NA,NA,NA,NA,NA,NA,fIps,nein_,Trid,0.0623,0.00012402,0.0034,2.62699E-08
NA,NA,NA,NA,NA,NA,SIdz,sneiz,fliz,,,,0
NA,NA,NA,NA,NA,NA,amps,kweit,skuk,0.0121,0.00012402,0.0221,3.31642E-08
NA,NA,NA,NA,NA,NA,bran,neibz,twuf,,,,0
NA,NA,NA,NA,NA,NA,prVk,Treit,Suzd,0.0123,0.00012402,0.0221,3.37124E-08
NA,NA,NA,NA,NA,NA,rVmz,dreim,Subz,,,,0
NA,NA,NA,NA,NA,NA,pIgd,dweiv,fluv,0.0623,0.00012402,0.0221,1.70754E-07
NA,NA,NA,NA,NA,NA,mIpt,smeiz,Tust,,,,0
NA,NA,NA,NA,NA,NA,naaTs,pImf,SQbz,do,not,include,#VALUE!
NA,NA,NA,NA,NA,NA,spaab,nIdz,zQft,,,,0
NA,NA,NA,NA,NA,NA,lEl_,TIln,zQln,0.0039,0.0623,0.0121,2.93994E-06
NA,NA,NA,NA,NA,NA,gend,tITt,nQln,,,,0
NA,NA,NA,NA,NA,NA,prid,TIlk,pQNk,0.0034,0.0623,0.0121,2.56302E-06
NA,NA,NA,NA,NA,NA,Sriz,zIfs,gQpt,,,,0
NA,NA,NA,NA,NA,NA,gwaS,stIS,g{zd,0.0121,0.0623,0.0605,4.56067E-05
NA,NA,NA,NA,NA,NA,ranT,glIf,kw{g,,,,0
NA,NA,NA,NA,NA,NA,skes,gwIg,T{ts,0.0039,0.0623,0.0605,1.46997E-05
NA,NA,NA,NA,NA,NA,seNk,Ilbd,z{lf,,,,0
NA,NA,NA,NA,NA,NA,friz,SIlm,z{ls,0.0034,0.0623,0.0605,1.28151E-05
NA,NA,NA,NA,NA,NA,skwi,rIlk,dZ{vz,,,,0
NA,NA,NA,NA,NA,NA,Srad,gIps,fVlv,0.0121,0.0623,0.0123,9.27211E-06
NA,NA,NA,NA,NA,NA,vadz,SINT,flVl,,,,0
NA,NA,NA,NA,NA,NA,bens,nImT,wVks,0.0039,0.0623,0.0123,2.98853E-06
NA,NA,NA,NA,NA,NA,frep,zIn_,vVmT,,,,0
NA,NA,NA,NA,NA,NA,skri,_Il_,fVfT,0.0034,0.0623,0.0123,2.60539E-06
NA,NA,NA,NA,NA,NA,skri,hIndZ,hVkt,,,,0
NA,NA,NA,NA,NA,NA,takt,mINT,brEl,0.0121,0.0623,0.0039,2.93994E-06
NA,NA,NA,NA,NA,NA,paldZ,pIlf,rEmT,,,,0
NA,NA,NA,NA,NA,NA,nVvz,vIlT,hEkt,0.0123,0.0623,0.0039,2.98853E-06
NA,NA,NA,NA,NA,NA,SVzd,mIgz,fEkt,,,,0
NA,NA,NA,NA,NA,NA,Sriz,swIk,kEts,0.0034,0.0623,0.0039,8.26098E-07
NA,NA,NA,NA,NA,NA,skwi,plId,zEld,,,,0
NA,NA,NA,NA,NA,NA,Twas,sImT,_einz,0.0121,0.0623,0.00012402,9.349E-08
NA,NA,NA,NA,NA,NA,galk,plIz,Sreiz,,,,
