"replaceKuSymbolsIPA1","replaceKuSymbolsIPA2","replaceKuSymbolsIPA3","replaceKuSymbolsIPA4","replaceKuSymbolsIPA5","replaceKuSymbolsIPA6","replaceKuSymbolsIPA7","replaceKuSymbolsIPA8","replaceKuSymbolsIPA9"
"raffth","shrurv","ghlighls","queipths","bloised","bjlmed","drjsck","grutch","nolmn"
"phrennth","phleighths","psaipths","shrawtch","smunzed","sckwaibs","ljksed","glil","fighked"
"ghaufth","crarld","zomms","fljvs","thundged","varcks","karched","sawv","sleuck"
"sckrabes","slirfths","sweighged","crieged","swize","smeild","dombs","meagues","scoists"
"zact","grawc","sweecks","kweev","strogs","knoobs","ghuff","ferbes","spoolled"
"kwards","staiste","sprarse","shirps","krarnd","plelked","knauge","splighnths","scrocsed"
"loonte","bleicked","gweeped","plauch","sckwoughgn","gnompce","kworged","strine","puiched"
"brolck","weambs","gwelt","tharv","marn","sploarnch","froons","twown","vuibbed"
"whuln","helts","seunte","poudged","glulched","pleltch","screats","goolts","blurlte"
"phroomms","jjcks","skagged","phliphths","cwannth","slunts","zesped","shreend","swoft"
"gljlmbs","koudds","sprontz","dirked","jippth","chjched","sckwufte","gnaughlt","pheiv"
"loughse","vooche","cemfed","dwace","gnighs","fjpse","skweessed","ghrighl","fjng"
"skweighdge","cleaffs","throarpths","gneibs","scweepes","sckaughth","zeat","crivs","phuinth"
"guarth","skwaughste","punse","soond","snoarmn","ghwjng","streagues","phroagns","stalm"
"phrugned","kribes","vingth","sckrailes","curnes","deaps","woodes","sckwul","daips"
"peude","poudds","zaughve","wralp","swann","sckwimped","spuivved","geevs","spluft"
"chawms","speale","bleighphs","hoamths","kleece","glilp","ghloones","sckurbes","jjldge"
"dwent","phroodged","ghwozzed","throrste","throarte","knolks","krerp","sckroove","clombs"
"jighlte","croat","phraughnth","murphths","rhoite","gheelt","giegue","ghwuns","thwentce"
"wroakes","pleeme","ghwixts","hempced","kwards","keusts","thaindge","quoarze","gljlts"
"skreighfs","ghweazzed","gighced","kwemed","swainge","skisc","quoussed","slalce","threigs"
"bieve","quoarve","slocks","naughph","ghwarzed","rerde","kuksed","knuignth","grormed"
"dwieked","scrunts","sckorkes","karfth","dirphs","plaughde","dreighte","pheuzz","skwolge"
"rins","bloogg","cwealde","joaves","twawbed","krauque","brocks","knalfs","deinge"
"dwjlv","sckwaupped","flerce","stauged","jawmbs","zelgned","ghlorgs","skraise","siebed"
"frombed","skwoacced","wrowch","groush","vauged","skwigned","smidds","queeque","phlang"
"smeacks","zoov","joignth","dreib","kneebb","screudds","phrjnce","skwobe","frofe"
"shraubbs","vooc","skrobe","slephths","sckuims","joonth","phloughge","charvs","speepped"
"tilque","cwoughce","gheged","glarvs","clomp","kroave","beized","veugg","toadge"
"ghrepths","pseiphths","shjnkced","wroakes","skwailt","sckrirr","spoarle","slulf","boaffed"
"ghruj","chunch","dwenc","crauked","jeagues","wrirmb","jeagues","thwirgs","awnch"
"fljphte","scwighfth","sckarl","cwolm","skuigued","noavved","peanns","prere","shrarpht"
"slourle","thapce","phjlck","bapth","tildged","scraist","scrighled","psernts","onse"
"beighsh","goughmths","sckwurgued","twighls","thompse","skolch","plawgnth","sproaffs","ghwuilde"
"deust","lopsed","dalque","blawmn","cawbed","jeeles","grarke","ghrauds","kwouled"
"knass","phreuche","smournts","ghlolt","ninse","ghwaughphths","phipsed","skermn","wroaphed"
"veands","klurmed","lowntse","smarched","feighlts","thould","flonthed","froaphth","smirfed"
"gheised","scweimed","phlighns","ghrancks","scirsts","cheugged","kweibed","thorch","smjd"
"plourled","clorkes","trjnns","wruibs","pseip","aU","butched","jeaphth","stjpse"
"smoands","gerzed","twieck","chepths","ghourtch","hjksts","scwoatched","sckrjndged","ghwonte"
"krolse","tuique","jeiced","frirged","sckrodged","ghrewnd","strauf","bljb","ljnts"
"sprunt","ghrune","ghwoole","twourcked","vosed","blookked","phrier","thwirgs","sholks"
"sheugns","splurtch","jimfed","throults","ljlths","phloite","gliphth","sckrjndged","gleiggs"
"teece","chooce","thwitch","scwaumn","gnuibbed","kumpced","crephths","genked","hab"
"dwigue","sckrautt","greighms","knerdes","splaups","thweetched","scweifth","scwelv","sweegs"
"skift","cloussed","streenned","shauf","skwourbed","pliend","trorcs","ghwilc","skrourthed"
"goath","beuf","ghlirg","terled","ghlaughmed","drulf","leebbed","ghweilts","lerths"
"skwougn","crinch","choarced","dwoannth","ghwurphths","phlainds","smompte","vaimmth","clenque"
"scrads","spraughnds","kwilc","shoosts","walced","whauphed","drephths","jeighche","feenns"
"sproosh","gwulmed","dwul","shimp","scweifth","twecks","bjcts","brurnds","sapths"
