V1,V2,V3,V4,V5,V6,V7,V8,V9,probabilities,,,multiplied probabilities
sprukt,grINkst,flil,driv,S2l,sl1pT,vapt,nQft,Truz,0.0121,0.0121,0.0221,3.23566E-06
braz,TQlz,fjudZ,skr1fT,zVns,dw3nT,klInzd,skrust,S9p,,,,0
Sibd,n1fs,j3mT,w#nT,slIkts,dr6l,fENk,SrQd,sjudZ,0.0039,0.0121,0.0221,1.0429E-06
jeNk,sQlb,Tumd,skrilz,gwInz,sIkt,vIs,klibz,flEln,,,,0
strQzd,splVmpt,spr9k,j1ld,SrEdZt,dw{k,sInT,vQTt,wubd,0.0623,0.0121,0.0221,1.66596E-05
rIntS,fQndZ,kuks,br3g,k1gz,Tr1f,_ifs,strInst,gr1ks,,,,0
kl9zd,Tr1n_d,fuldz,prEz,Sr1lz,T5nd,kwVT,r{_d,SQlk,0.0123,0.0605,0.0121,9.00422E-06
glVb,v{nT,flQl,kw2st,fr9nT,skwipt,skw6n_,skik,snQft,,,,0
Su_,dr9dZ,numT,wuld,guSt,sups,gwein,s{lz,nQNk,0.00012402,0.0605,0.0121,9.07888E-08
kweiT,fr{n,sQln,kr9fs,skIsk,skwQv,snimz,kVmfs,swIsk,,,,0
nuzd,glElnz,fEft,_9sts,kl1_d,wQNks,skri,fl{z,fQst,0.0034,0.0605,0.0121,2.48897E-06
Sriz,n{nz,fQndZ,vIlks,r3ndz,luk,g2ts,Tr1fs,skwults,,,,0
prIkst,skw1n,spr3t,SIgz,truv,blEsk,Talz,dw{k,grVdZ,0.0121,0.0605,0.0123,9.00422E-06
ravz,b{pT,_Vlz,kw1st,sn{mps,kw{lk,gw#St,spr5lz,slIgz,,,,0
w3p,gwumd,skr{ndZ,Tr5nT,skw9sts,n9k,deips,t{ns,zVnT,0.00012402,0.0605,0.0123,9.22895E-08
heivd,dZ{vz,rVTt,kl9mT,kw9fTs,_5lz,f3D,plIndz,sp2mT,,,,0
st6st,sl9v,spl2nt,skw#st,gr1fTs,stripTs,Trid,w{dZt,VmTs,0.0034,0.0605,0.0123,2.53011E-06
briz,g{ks,prVd,str1fTs,sIlv,str2md,sk9T,kwust,kwimz,,,,0
Emd,_i_,d6Ts,str9ld,z{nT,zEld,nast,r{dz,sEft,0.0121,0.0605,0.0039,2.855E-06
bantS,gl{g,sEndZ,fl5lt,dwIsks,zunz,skr9ndz,dr5s,prIn,,,,0
kunt,skrVlk,kw9nt,v1d,swImp,skwImft,keizd,gw{k,wEks,0.00012402,0.0605,0.0039,2.92625E-08
skeim,h{ft,smEf,gl5st,Sr9nd,kl1d,lQnT,spr1nT,n2k,,,,0
st9vd,gl9gz,klifs,S{zd,rist,SrQnT,fliz,gl{g,dZElv,0.0121,0.0605,0.0039,2.855E-06
skri,T{_d,dZEns,kwQNk,krIlbd,fr1b,skr3_,bl{pt,st2d,,,,0
nuT,dZIn_,wunz,dig,st9_,tw1ps,fraS,n{nt,Teigz,0.0121,0.0605,0.00012402,9.07888E-08
graz,n{mT,bleit,b#lz,slif,fIlbz,str3ld,br{nz,skQmT,,,,0
jQlTs,bEkst,skwElv,gr6ts,klINkst,skrIlp,twen,s{n_,gleit,0.0039,0.0605,0.00012402,2.92625E-08
kwes,g{ls,kleiz,Tr1mT,krIndz,skr3nz,v2T,z9ldz,w#fT,,,,0
sm{kst,_1bd,sifTs,grIzd,sm6n,dw{lst,Trid,gr{dZ,preim,0.0034,0.0605,0.00012402,2.55109E-08
twiz,h{lv,skeid,glults,kw9m,kw1mz,zikt,skuft,kwim,,,,0
skwVk,kr{fs,plVfTs,krIgd,kw3nT,_Ins,Talv,dZ{vz,zIsk,0.0121,0.0605,0.0623,4.56067E-05
naft,w{nd,gImp,w{mpts,j1lts,sk{fs,klug,skw9n,sIsk,,,,0
sk9T,dZ5mT,_Eft,skw5m,str2z,wEks,pepT,T{_d,SIlm,0.0039,0.0605,0.0623,1.46997E-05
redZd,f{sp,drIk,jind,glubz,kr9ps,s6nts,skwInz,k3ts,,,,0
rIndz,bl9T,spr9k,nET,strust,glult,drid,fr{g,gIst,0.0034,0.0605,0.0623,1.28151E-05
skri,r{lt,rImT,strIg,kl3st,spQnz,_9ndz,gw9p,dw5ldz,,,,0
b5m,nEksts,fl9v,skIft,dwis,str3S,gaps,f{ks,drid,0.0121,0.0605,0.0034,2.48897E-06
favz,r{st,griz,frQkst,dr#t,n{mT,n3,skrEn,sm1nz,,,,0
strIdZ,k{pts,br{lnd,zEmp,str9dZ,kwIfTs,negz,n{sk,gliz,0.0039,0.0605,0.0034,8.0223E-07
seTt,s{n_,briz,skwElst,tIkst,drits,jults,nQs,rVlfs,,,,0
trIpts,g4z,p2g,bQnz,dQfts,sn6nd,SIndZ,j{st,prid,0.0623,0.0605,0.0034,1.28151E-05
gIst,_{mf,friz,skwElf,kwuv,stVlm,kwukt,w9_d,_Ilfs,,,,0
kIg,fl3zd,p{n_,j3pt,skr3nd,n6_,bavd,sw{n,fuft,0.0121,0.0605,0.0221,1.61783E-05
alks,k{ft,fruS,Tr2bz,rIkts,5_d,s3mz,kludz,kl2,,,,0
dwim,tw9z,nQlst,Tw#nt,gl1mT,strulz,selk,z{fT,truf,0.0039,0.0605,0.0221,5.2145E-06
skeS,n{Nk,suft,TEl,kr1m,rub,blQn_d,kwIg,fIsk,,,,0
m2d,Tr1kt,Tr3l,m2kt,z9t,_9md,swIk,T{ps,rult,0.0623,0.0605,0.0221,8.32982E-05
rIls,z{ln,Su_d,wifTs,_3fT,s#lt,f1gz,S1f,dVlst,,,,0
