"replaceKuSymbolsIPA1","replaceKuSymbolsIPA2","replaceKuSymbolsIPA3","replaceKuSymbolsIPA4","replaceKuSymbolsIPA5","replaceKuSymbolsIPA6","replaceKuSymbolsIPA7","replaceKuSymbolsIPA8","replaceKuSymbolsIPA9"
"stIm","tr2vd","k3S","grIlps","kr9ndZ","kl9m","Twil","sw2ld","kwikt"
"smQnts","skr{lnd","sn6zd","sIbd","gw5t","blQnts","kr9n","s3mz","kwits"
"pr9k","gr2st","sprElp","kr9ks","kr1nts","klIlnd","br3nt","k9pT","gl9lz"
"skr1z","pl{ldZ","spl3v","gw9fs","z1nz","sp2T","skw{lt","k1zd","sw{ps"
"v9md","gl4ld","gr1f","tuft","kw1nts","skw2t","skr9k","sm3f","pl2md"
"skits","SEks","nVvz","fr2bz","sQNkst","rimd","sp5_d","spIlmd","m9nTs"
"sl3dZt","gw2kt","gEmT","drund","twEpT","Sr3sts","skwQg","fr9ks","p4dz"
"klIlnz","nVmT","fEft","g4nd","_2","zupt","skw2z","skwVn_d","n9S"
"pr1g","z9s","pr9_","T9vd","_9b","Trugz","skruft","gr1ld","skrEnts"
"strut","hQf","sm6nTs","d9ft","dust","klIzd","Sr{mps","st1fT","fr3k"
"nVkt","swElk","sw1nT","gr3fs","skw3ldz","gr3st","r3dz","sprIlb","j6n_d"
"kr{dZ","kwi_","str9pT","skwuzd","smIlmz","bruld","tr9dz","spr9k","TrQnz"
"Tw{nz","tr6lt","pl{ld","sQlmd","frIs","skr1vd","kwIlm","sm{st","strund"
"n{n_","n#n","klVnz","glImT","Tw1z","slipT","kr9ndZ","VdZt","sk9st"
"spr2ks","swimd","f1fs","m9ks","SQlm","sp1zd","TrVpt","skQldz","k9ndZ"
"kl9t","tw9lts","tw{b","skr3p","trIn","prifTs","T9st","gl6dZ","T1mT"
"Trubd","skrIf","nIls","kw5m","gr2l","rIn","skVg","w1bz","skVsk"
"sprInz","sEdz","brit","skw{kt","kl1bd","skw3S","snIn","bl9nd","_9ft"
"klugz","s9ndZ","sm9s","tr9ks","r6dZt","tr9ldz","gl9lt","g{Ts","vVmT"
"p{ft","str{lkt","gw9z","n2z","tr9pt","f6n_","swVnzd","skwIft","z9f"
"drVNkst","dVSt","fr9nz","grugd","_Ilfs","brEk","skrIlf","brIlks","kIfT"
"sImp","TrEkt","kl9md","sw2m","sprufs","bl1ts","sk{lks","k1S","fund"
"skw1S","stuf","gwEN","gwidz","skrudZ","buf","gruf","S3mz","skQsks"
"bl6dZ","j6S","dZ#nTs","nVmT","dZ{nts","sk6nTs","skw{pT","d1dz","fl1ft"
"skr5nd","Sr3gd","spr1S","jund","skrufT","s6ns","gw{dZt","nQlk","grIN"
"S#St","skw9n","frInz","n9_","sm9g","TrEkst","TIln","rult","skrudZ"
"s2l","wVN","rInd","gw1_","skwEmpts","z1nz","dwId","spr1f","gr{ft"
"gwQNkt","dZ3t","TQlz","TEv","pIlp","kl5gd","str6st","strVg","wEl_d"
"sprups","Truk","skr9md","T6_","sk#mT","w5vz","h6_d","tw9d","skwVksts"
"pludz","Tr9gz","f{f","piD","Tw{lks","str9ldz","kr3ps","mQv","spl3D"
"tw9bd","dw2k","fr1S","gl9d","skwibz","s4d","wQl","lIkst","gEfs"
"krupt","Tilz","bl{sk","glIsts","kw#nT","hInst","r5ks","n9v","wEmf"
"kVl_d","kl6st","fImfs","_Esks","dw2mz","Tr9d","skw{kt","n3S","glVldZt"
"r4sts","s1s","bl1gz","skwIpT","pl7z","grQz","tw6","j9f","skwImpt"
"fr3mT","nubz","j1_","slVld","kluTs","gluS","sw5T","g9mT","kw9m"
"nIls","Trigz","k1nt","Twint","s#n","krVlnd","sw9z","kw2","spimz"
"skwEz","s9_","spin","splESt","glIndZ","kriv","b9f","sunz","g2ft"
"sm9s","prIn","n9ndZ","fl{fs","sm9fs","_1v","kw1fT","frunz","fl5gd"
"wIkst","dwund","brVlst","puD","kwunTs","flups","sw9_","w1nts","gl9md"
"kwIlm","wVNks","g2fTs","krVldZ","migz","sprIlmz","f5dz","hifTs","b1vd"
"f#mT","skwIps","n9k","Trund","Trul","r1pTs","kl{ndZ","kwukt","sp5St"
"duk","S2pt","flimz","glufT","glIkst","nElk","z2vz","dr9k","Tw5fT"
"pl1_d","kwinT","skrufT","w#ld","skIlft","glubz","grENz","dw{lst","luld"
"krENks","skw5dz","plEldZ","m4t","fIN","stIm","k3nTs","plIsk","skwQfs"
"j9fT","snIlst","skw{k","Twikt","s3ps","TrEnz","fliTt","glVmps","r6dz"
"sp3S","n5bd","kl9_","gw9dZt","p3gd","fl3fs","kwun","kl{nts","kl9pTs"
"Tw6lz","trElk","skw#_d","flunT","skrul","Srup","w6D","slIdz","grig"
"dwizd","sp3_d","fr3gd","skr3nT","hImpt","gl#vz","skwEpT","kr#mz","frIns"
"plust","swu_","sprunt","spr1fT","frIst","kw9m","kl{mT","big","TrINz"
"n9st","kwInT","skwimd","r#nt","snIvz","sk9fT","klElkt","_9ks","gwET"
