replaceKuSymbolsIPA2,,,,,,,,
"c(""pl9nd"""," ""skwIkst"""," ""Siv"""," ""slEfTs"""," ""flindz"""," ""n9Jt"""," ""prid"""," ""hElk"""," ""r{st"")"
"c(""skw^lnd"""," ""d9fs"""," ""sk^pst"""," ""1st"""," ""g{kst"""," ""glI_"""," ""friz"""," ""yEks"""," ""S{zd"")"
"c(""n9S"""," ""gl1mz"""," ""plups"""," ""skwEGk"""," ""kwipt"""," ""n#t"""," ""krad"""," ""nEld"""," ""fl^m"")"
"c(""skw1ld"""," ""pET"""," ""w{lT"""," ""tw9mz"""," ""9f"""," ""kriv"""," ""flab"""," ""smEk"""," ""y^lv"""
"c(""splEks"""," ""twIlvz"""," ""fik"""," ""Tr1ks"""," ""v#g"""," ""spluv"""," ""neibz"""," ""sElm"""," ""p^lf"")"
"c(""b9nd"""," ""st5fT"""," ""yiks"""," ""flik"""," ""skwInz"""," ""skr1gz"""," ""yeidz"""," ""TEzd"""," ""z^n_"")"
"c(""gITt"""," ""Tr1kt"""," ""J3f"""," ""s9f"""," ""p3nz"""," ""pIdz"""," ""prid"""," ""gwEt"""," ""w^ln"")"
"c(""kl9nJ"""," ""r^vz"""," ""sp9vd"""," ""fl^lk"""," ""fImps"""," ""gr6nT"""," ""fliz"""," ""gEps"""," ""sm^m"")"
"c(""skr2nz"""," ""n2lts"""," ""w1nts"""," ""bEmp"""," ""yusts"""," ""yInz"""," ""nalT"""," ""TEst"""," ""neipT"")"
"c(""skwi"""," ""drElTt"""," ""p1g"""," ""grQGkst"""," ""EnTt"""," ""n9ld"""," ""falJ"""," ""_En_"""," ""preis"")"
"c(""_1k"""," ""Tun"""," ""_1pT"""," ""2ps"""," ""gr9lt"""," ""skIln"""," ""kl^g"""," ""swEG"""," ""heigd"")"
"c(""sk^vz"""," ""str6D"""," ""J4n"""," ""hInT"""," ""r9pt"""," ""skw^ksts"""," ""Sr^l"""," ""mEmp"""," ""veibd"")"
"c(""sk9ts"""," ""_uld"""," ""fund"""," ""Sr9ld"""," ""spl3ft"""," ""skwim"""," ""prid"""," ""TEln"""," ""heivd"")"
"c(""skuzd"""," ""T{lnz"""," ""s9nTs"""," ""gl^lfs"""," ""zIJ"""," ""zif"""," ""twiz"""," ""pEJt"""," ""sweig"")"
"c(""JQGkst"""," ""kw1bd"""," ""gl5mTs"""," ""spEsk"""," ""kw^lbd"""," ""J^sks"""," ""kQJt"""," ""sElk"""," ""mImp"")"
"c(""_id"""," ""glust"""," ""skrip"""," ""v{dz"""," ""skr9Tt"""," ""_3g"""," ""naft"""," ""tEmf"""," ""TIn_"")"
"c(""kl1bz"""," ""dEgd"""," ""drind"""," ""sprud"""," ""big"""," ""gw9nz"""," ""r^lb"""," ""dEnd"""," ""kwIS"")"
"c(""gl1bz"""," ""Srust"""," ""y9m"""," ""_{nJ"""," ""fl3st"""," ""k^Gk"""," ""T^ln"""," ""skEv"""," ""zInT"")"
"c(""st3dz"""," ""Tr{nt"""," ""styult"""," ""strug"""," ""n4st"""," ""skilt"""," ""skri"""," ""nEnT"""," ""rInd"")"
"c(""fr1k"""," ""gl5fs"""," ""gw2kt"""," ""n9Tt"""," ""dusts"""," ""gl3k"""," ""prid"""," ""_E_d"""," ""SrIG"")"
"c(""pr{sk"""," ""gwin"""," ""kwQnd"""," ""grIpT"""," ""TwQlv"""," ""sp#sts"""," ""krag"""," ""rEmT"""," ""skwi"")"
"c(""splEmft"""," ""n9lts"""," ""gElf"""," ""kwEfT"""," ""snugd"""," ""s9gd"""," ""gaks"""," ""_ElT"""," ""fliz"")"
"c(""_9st"""," ""skwIt"""," ""kw2fs"""," ""skwist"""," ""f3ks"""," ""spl9m"""," ""Sr^n"""," ""JEdz"""," ""briz"")"
"c(""b9g"""," ""igz"""," ""smIpt"""," ""gwQlb"""," ""klElst"""," ""skr9fT"""," ""br^C"""," ""TwEb"""," ""griz"")"
"c(""skri_"""," ""sm{st"""," ""g2vz"""," ""vIbz"""," ""glQlks"""," ""gw1fs"""," ""pIlm"""," ""rEls"""," ""fliz"")"
"c(""fl^m"""," ""tr9lt"""," ""y2st"""," ""splIlf"""," ""dr^ld"""," ""JunT"""," ""stIb"""," ""hEnd"""," ""friz"")"
"c(""spl9s"""," ""br6S"""," ""gwipt"""," ""funt"""," ""skw3gz"""," ""T3p"""," ""slaf"""," ""fEGk"""," ""fluT"")"
"c(""luv"""," ""k3nd"""," ""z9fT"""," ""grQkt"""," ""h4nTs"""," ""f3mT"""," ""Camd"""," ""pEpT"""," ""fru_"")"
"c(""vQk"""," ""gl6J"""," ""gr9kt"""," ""gl#vz"""," ""Tr9g"""," ""skwEpst"""," ""sm^T"""," ""tEsk"""," ""sulz"")"
"c(""kwInzd"""," ""sprQsp"""," ""kw6n_"""," ""tr{Gkst"""," ""r3t"""," ""skr2ld"""," ""T^ln"""," ""skEk"""," ""rund"")"
"c(""pr3"""," ""bl9Ts"""," ""skw#st"""," ""ruvd"""," ""skwIGk"""," ""kw9f"""," ""drIf"""," ""vEnT"""," ""syum"")"
"c(""str9s"""," ""flub"""," ""flIlz"""," ""skwulz"""," ""J6dz"""," ""s9nT"""," ""hIsk"""," ""Elnd"""," ""smuv"")"
"c(""lunt"""," ""w5kst"""," ""br5nt"""," ""sp9lt"""," ""krufs"""," ""d3bd"""," ""T{nJ"""," ""neiks"""," ""_Qlf"")"
"c(""gw5kst"""," ""skw2gd"""," ""Sridz"""," ""spr9gd"""," ""strum"""," ""prit"""," ""d@lJ"""," ""neiJt"""," ""rQzd"")"
"c(""flumT"""," ""kw3d"""," ""tw9fT"""," ""swEmps"""," ""skr9_"""," ""kl5m"""," ""sEGk"""," ""heigd"""," ""hQlp"")"
"c(""kw9f"""," ""gwIfs"""," ""muft"""," ""slind"""," ""z3z"""," ""spr5d"""," ""zefs"""," ""sneip"""," ""TQfT"")"
"c(""fuTt"""," ""kw5k"""," ""br^mps"""," ""rEmft"""," ""skr^ld"""," ""n9k"""," ""twiz"""," ""Jeizd"""," ""swQm"")"
"c(""v{lft"""," ""n9st"""," ""kl4nTs"""," ""f3lts"""," ""skIksts"""," ""sm1ld"""," ""skwi"""," ""weibz"""," ""slQf"")"
"c(""g^nd"""," ""id"""," ""skwInz"""," ""sl9st"""," ""pr3f"""," ""r9fT"""," ""wald"""," ""freik"""," ""f{n_"")"
"c(""splub"""," ""snEn_d"""," ""br3lt"""," ""skr9nT"""," ""zIf"""," ""n5vz"""," ""yamz"""," ""glein"""," ""dw{s"")"
"c(""_Enz"""," ""kl5ft"""," ""kwumd"""," ""kwust"""," ""kr2p"""," ""skr5dz"""," ""frep"""," ""peinT"""," ""g{lv"")"
